S#,Date,Time,Location,City,Province,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children  ,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F)
137,"Saturday, June 19, 2010",9:30,Haider Khel-Mir Ali,North Waziristan,FATA,,,11,16,,,11,16,3,19,N,missile striuck a compund linked to Taliban and Al-Qaeeda,The missile attack took place after Richard Holbrooke landed in Pakistan,http://english.aljazeera.net/news/asia/2010/06/201061973218311918.html  http://www.reuters.com/article/idUSTRE65I0DV20100619   http://www.nytimes.com/2010/06/20/world/asia/20pstan.html?_r=1   http://www.bbc.co.uk/news/10356604  Daily Jang 19-Jun-2010/PBC-DJN-19-Jun-2010,70.1455,32.9746,26.965,80.537
138,"Saturday, June 26, 2010",,Khushali khel village- Mir Ali,North Waziristan,FATA,,,2,4,,,2,4,1,3,N,The drone fired on a house,it was not clear if killed or wounded militants are High Value targets,http://geo.tv/6-26-2010/67356.htm  http://www.bbc.co.uk/news/10423780  http://www.dailytimes.com.pk/default.asp?page=2010\06\27\story_27-6-2010_pg7_4,70.1455,32.9746,24.845,76.721
139,"Sunday, June 27, 2010",15:30,Tabbi Tolkhel-4 km north of MiranShah,North Waziristan,FATA,,6,0,5,,,5,6,,2,N,missile hit a compound,Identities of those killed in the attack were unkown,Dawn News 27-Jun-2010/PBC-DWN-27-Jun-2010  http://www.dailytimes.com.pk/default.asp?page=2010%5C06%5C28%5Cstory_28-6-2010_pg1_5,70.1455,32.9746,26.11,78.998
140,"Tuesday, June 29, 2010",7:00,Kari Kot,South Waziristan,FATA,1,,6,7,,,6,8,,,N,2 missiles were fired on a compound,,http://geo.tv/6-29-2010/67516.htm  http://www.nytimes.com/2010/06/30/world/asia/30pstan.html  http://af.reuters.com/article/worldNews/idAFTRE65S19Q20100629?pageNumber=2&virtualBrandChannel=0,69.9,33.0333,24.28,75.704
141,"Thursday, July 15, 2010",,Misermada Khel- MiranShah,North Waziristan,FATA,,,0,7,,,,7,,,N,two missiles were fired on a compound used by islamist fighter,Foreign fighters linked to Al-Qaida are known to be in the this area,http://www.bbc.co.uk/news/world-south-asia-10654163  http://news.blogs.cnn.com/2010/07/15/u-s-drone-strike-kills-7/,70.1455,32.9746,25.66,78.188
142,"Saturday, July 24, 2010",,Dwasarak- 40km west of Wana,South Waziristan,FATA,,,16,18,,,16,18,,,N,missiles were fired into a compound reportedly used by terrorists,Officials said that militants belonged to local commander Moulana Halimullah,http://geo.tv/7-24-2010/68876.htm  http://www.bbc.co.uk/news/world-south-asia-10748616,69.9,33.0333,24.5,76.1
143,"Sunday, July 25, 2010",,shaktoi,South Waziristan,FATA,,,3,6,,,3,6,4,5,Y,drones targeted a compound,compound was a old house of late Tehkek-e-Taliban chief Baitullah Mehsud,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/two-militants-killed-in-us-drone-strike-in-miranshah-jd-,69.9,33.0333,25.625,78.125
144,"Sunday, July 25, 2010",11:30,shaktoi,South Waziristan,FATA,,,4,5,,,4,5,,5,Y,The missiles fired at old house of Baitullah Mehsud,hit militant hideouts,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/two-militants-killed-in-us-drone-strike-in-miranshah-jd-,69.9,33.0333,25.625,78.125
145,"Sunday, July 25, 2010",,MiranShah,North Waziristan,FATA,,,3,4,,,3,4,,2,Y,2 places were destroyed completely,3 drone attacks in one day,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/two-militants-killed-in-us-drone-strike-in-miranshah-jd-,70.1455,32.9746,26.055,78.899
146,"Saturday, August 14, 2010",9:30,Issori village- Mir Ali,North Waziristan,FATA,,,8,12,,5,12,13,4,6,N,strike hit a compound used by militants,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101027813&Issue=NP_LHE&Date=20100815  http://www.bbc.co.uk/news/world-south-asia-10977400  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/06-supected-drone-attack-in-north-waziristan-rs-04  http://www.geo.tv/8-14-2010/69960.htm,70.1455,32.9746,24.505,76.109
147,"Saturday, August 21, 2010",,KutabKhel- 3km south of MiranShah,North Waziristan,FATA,,,4,6,,,4,6,,,N,missiles targeted a compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101034415&Issue=NP_LHE&Date=20100822  http://www.geo.tv/8-21-2010/70284.htm  http://www.dailytimes.com.pk/default.asp?page=2010%5C08%5C22%5Cstory_22-8-2010_pg7_4,70.1455,32.9746,27.45,81.41
148,"Monday, August 23, 2010",,Danday Darpa Khel- 5km from Miran Shah,North Waziristan,FATA,,,5,10,,2,5,12,5,15,N,drones hit a hideout of suspected militants,nationalities of foreigners are not known yet,http://www.geo.tv/8-23-2010/70395.htm  http://archives.dawn.com/archives/33894  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101036132&Issue=NP_LHE&Date=20100824,70.1455,32.9746,26.91,80.438
149,"Monday, August 23, 2010",,Dera Mandi,North Waziristan,FATA,,,5,11,,,5,11,,4,,,,http://edition.cnn.com/2010/WORLD/asiapcf/08/23/pakistan.drone.attack/  http://archives.dawn.com/archives/33894,70.1455,32.9746,26.91,80.438
150,"Friday, August 27, 2010",11:30,Shaheedano- Badshah Kot- Talokonj,Kurram Agency,FATA,,,6,9,,,6,9,,,,,, http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=1877&Cat=7&dt=1/7/2011  http://www.rttnews.com/ArticleView.aspx?Id=1404469,69.9667,33.8167,23.485,74.273
151,"Friday, September 03, 2010",,MiranShah,North Waziristan,FATA,,,6,9,,,6,9,3,8,N,this struck a militant compound,nationalities of killed forigners are not known,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101045411&Issue=NP_LHE&Date=20100904  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/12-us+missiles+kill+five+in+north+waziristan--bi-02  http://www.aaj.tv/2010/09/drone-strikes-in-north-waziriastan-killing-5-people/  http://geo.tv/9-3-2010/70894.htm,70.1455,32.9746,25.25,77.45
152,"Friday, September 03, 2010",,Datta Khel,North Waziristan,FATA,,,3,4,,,3,4,,4,N,missile targeted a car,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101045411&Issue=NP_LHE&Date=20100904  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/12-us+missiles+kill+five+in+north+waziristan--bi-02  http://www.aaj.tv/2010/09/drone-strikes-in-north-waziriastan-killing-5-people/  http://geo.tv/9-3-2010/70894.htm,70.1455,32.9746,25.25,77.45
153,"Monday, September 06, 2010",,Khar Qamar,North Waziristan,FATA,,,0,5,,,,5,,4,N,missiles were fired on a vehicle carraying militants,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101047852&Issue=NP_LHE&Date=20100907  http://www.geo.tv/9-6-2010/71030.htm  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/12-us+drone+kills+five+in+north+wazirstan--bi-01?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+pakne  http://www.cnn.com/2010/WORLD/asiapcf/09/06/pakistan.drone.strike/,70.1455,32.9746,23.825,74.885
154,"Wednesday, September 08, 2010",6:30,Danday darpakhel- 3 km west of miranshah bazar,North Waziristan,FATA,,,6,10,,,6,10,,2,Y,missiles hit a compound,Afghan commander jaluddin (Haqqani's network) was using this place,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101049090&Issue =NP_LHE&Date=20100909  http://www.bbc.co.uk/news/world-south-asia-11226472  http://www.cnn.com/2010/WORLD/asiapcf/09/08/pakistan.drone.attack/,70.1455,32.9746,23.44,74.192
155,"Wednesday, September 08, 2010",,Ambor Shaga,North Waziristan,FATA,,,0,0,,4,,4,,1,Y,missiles hit a car ,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101049090&Issue =NP_LHE&Date=20100909  http://www.cnn.com/2010/WORLD/asiapcf/09/08/pakistan.drone.attack/  http://geo.tv/9-8-2010/71129.htm,70.1455,32.9746,23.44,74.192
156,"Wednesday, September 08, 2010",21:00,Darga Mandi- Miran Shah,North Waziristan,FATA,,,4,6,,,4,6,,2,Y,,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101049090&Issue =NP_LHE&Date=20100909  http://www.cnn.com/2010/WORLD/asiapcf/09/08/pakistan.drone.attack/  http://geo.tv/9-8-2010/71129.htm,70.1455,32.9746,23.44,74.192
157,"Thursday, September 09, 2010",4:30,Machus Camp- Miran shah,North Waziristan,FATA,,,4,6,,,4,6,,5,,,,http://archives.dawn.com/archives/77433  http://geo.tv/9-9-2010/71144.htm,70.1455,32.9746,22.25,72.05
158,"Sunday, September 12, 2010",6:15,Newey Adda village in Datta Khel- near Miranshah,North Waziristan,FATA,,,3,4,,2,4,5,,2,N,missiles hit a house used by militants,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101051467&Issue=NP_LHE&Date=20100914   http://edition.cnn.com/2010/WORLD/asiapcf/09/12/pakistan.us.drone/  http://geo.tv/9-12-2010/71268.htm,70.1455,32.9746,22.35,72.23
159,"Tuesday, September 14, 2010",6:00,Bush Narai,North Waziristan,FATA,,,8,12,,,8,12,,3,N,missiles hit a car ,People killed were from Hafiz Gul Bahadar's Group,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101052273&Issue=NP_LHE&Date=20100915  http://geo.tv/9-14-2010/71348.htm  http://www.bbc.co.uk/news/world-south-asia-11293806  http://www.cnn.com/2010/WORLD/asiapcf/09/14/pakistan.drone.attack/,70.1455,32.9746,18.59,65.462
160,"Tuesday, September 14, 2010",19:00,KutabKhel-MiranShah,North Waziristan,FATA,,,4,5,,,4,5,,,N,,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101052273&Issue=NP_LHE&Date=20100915,70.1455,32.9746,18.59,65.462
161,"Wednesday, September 15, 2010",16:30,Danday Darpa Khel- Miran Shah,North Waziristan,FATA,,,0,12,,14,12,14,,,N,Missiles hit a residential compound owned by Badshah Khan,,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/the-newspaper/front-page/21-militants-killed-in-two-attacks-690  http://www.dailytimes.com.pk/default.asp?page=2010\09\16\story_16-9-2010_pg1_5,70.1455,32.9746,20.065,68.117
162,"Wednesday, September 15, 2010",,Datta Khel,North Waziristan,FATA,,,5,7,,,5,7,,3,N,Missile hit a house,News came that commander of Haqqani group has been killed,http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/the-newspaper/front-page/21-militants-killed-in-two-attacks-690  http://www.dailytimes.com.pk/default.asp?page=2010\09\16\story_16-9-2010_pg1_5,70.1455,32.9746,20.065,68.117
163,"Sunday, September 19, 2010",,Datta Khel,North Waziristan,FATA,,,0,5,,,,5,,3,N,missile hit a car and compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101056281&Issue=NP_LHE&Date=20100920  http://tribune.com.pk/story/52071/drone-strike-kills-5-in-n-waziristan/,70.1455,32.9746,16.995,62.591
164,"Monday, September 20, 2010",,Datta Khel,North Waziristan,FATA,,,5,9,,,5,9,3,4,N,missile hit a vehicle passing by a house,Haqqani networks dominates the area,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101056724&Issue=NP_LHE&Date=20100921  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/21  http://www.deccanchronicle.com/international/5-militants-killed-us-drone-strike-pakistan-593,70.1455,32.9746,18.38,65.084
165,"Tuesday, September 21, 2010",17:30,Khund,South Waziristan,FATA,,,7,8,,,7,8,,4,N,Hits hideouts of militants,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101057915&Issue=NP_LHE&Date=20100922  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/22-Sep-2010/US-drone-strikes-kill-28-in-NWA-SWA  http://news.xinhuanet.com/english2010/world/2010-09/22/c_13523918.htm  http://www.bbc.co.uk/news/world-south-asia-11387214,69.9,33.0333,17.895,64.211
166,"Tuesday, September 21, 2010",,Azam Warsak Village,South Waziristan,FATA,,,5,12,,,5,12,,8,N,missiles hit a vehicle,Mullah Shamsullah died in this attack,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101057915&Issue=NP_LHE&Date=20100922  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/22-Sep-2010/US-drone-strikes-kill-28-in-NWA-SWA  http://edition.cnn.com/2010/WORLD/asiapcf/09/21/pakistan.drone.strike/  http://news.xinhuanet.com/english2010/world/2010-09/22/c_13523918.htm  http://www.bbc.co.uk/news/world-south-asia-11387214,69.9,33.0333,17.895,64.211
167,"Tuesday, September 21, 2010",,Azam Warsak Village,South Waziristan,FATA,,,,8,,,,8,,,,,,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/22-Sep-2010/US-drone-strikes-kill-28-in-NWA-SWA,69.9,33.0333,17.895,64.211
168,"Saturday, September 25, 2010",,Datta Khel,North Waziristan,FATA,,,0,4,,,,4,,4,N,target was a vehicle carrying militants,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101060957&Issue=NP_LHE&Date=20100926  http://www.bbc.co.uk/news/world-south-asia-11411376  http://www.thenews.com.pk/latest-news/1809.htm  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/07-drone-strike-in-south-waziristan-kills-three-militants-ha-11,70.1455,32.9746,19.375,66.875
169,"Sunday, September 26, 2010",,Manada khel- Darmano road- and Lawar Mandi in Datta Khel,North Waziristan,FATA,,,9,12,,,9,12,,4,N,strike targeted a vehicle,this area known as the hub for taliban and al-qaida linked militants,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101061718&Issue=NP_LHE&Date=20100927  http://archives.dawn.com/archives/43395,70.1455,32.9746,18.23,64.814
170,"Monday, September 27, 2010",,Khshali ToorKhel- southeast of Miran Shah,North Waziristan,FATA,,,0,4,,,,4,,,N,missiles were fired on millitant compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101062152&Issue=NP_LHE&Date=20100928  http://tribune.com.pk/story/55212/drone-strike-kills-four-militants-in-n-waziristan/  http://www.dawn.com/2010/09/27/us-drone-strike-kills-two-militants-in-miramshah.html,70.1455,32.9746,19.395,66.911
171,"Tuesday, September 28, 2010",,Zeba Village-Wana,South Waziristan,FATA,,,0,4,,,,4,,,N,Hit suspected militants compound,,http://geo.tv/9-28-2010/72051.htm  http://archives.dawn.com/archives/83316,69.9,33.0333,18.97,66.146
172,"Saturday, October 02, 2010",10:00,Kasra madda khel-and  Tirmara-in Datta khel,North Waziristan,FATA,,,14,17,,4,17,18,3,4,N,People killed belonged to Haqqani group,25 attacks in 29 days,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101065716&Issue=NP_LHE&Date=20101003  http://edition.cnn.com/2010/WORLD/asiapcf/10/02/pakistan.drone.strike/?hpt=T2  http://www.nytimes.com/2010/10/03/world/asia/03pstan.html?_r=1,70.1455,32.9746,19.685,67.433
173,"Monday, October 04, 2010",12:00,Mir Ali,North Waziristan,FATA,,,3,1,5,8,8,9,,2,N,missiles hit a house,strike came after US and britian issued warnings of an increased risk of terrorist attacks in europe,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101067722&Issue=NP_LHE&Date=20101005  http://geo.tv/10-4-2010/72389.htm  http://news.blogs.cnn.com/2010/10/04/sources-possible-drone-strike-in-pakistan-kills-8-germans/?hpt=T2  http://www.bbc.co.uk/news/world-south-asia-11471185  Daily Jang 04-Oct-2010/PBC-DJN-04-Oct-2010  Dawn News 04-Oct-2010/PBC-DWN-04-Oct-2010,70.1455,32.9746,21.1,69.98
174,"Wednesday, October 06, 2010",17:00,MiranShah Bazaar,North Waziristan,FATA,,,5,6,,,5,6,,2,N,drone fired two missiles on a house,Targeted the people of hafiz gul bahadar- It was said that these people were planning attacks like mumbai in europe cities,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101069306&Issue=NP_LHE&Date=20101007  http://geo.tv/10-7-2010/72497.htm  http://archives.dawn.com/archives/33891  Daily Jang 06-Oct-2010/PBC-DJN-06-Oct-2010,70.1455,32.9746,19.29,66.722
175,"Wednesday, October 06, 2010",,Hurmaz village of Mir ali,North Waziristan,FATA,,,3,5,,,3,5,,,N,hit a house ,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101069306&Issue=NP_LHE&Date=20101007  http://geo.tv/10-7-2010/72497.htm  http://archives.dawn.com/archives/33891  Daily Jang 06-Oct-2010/PBC-DJN-06-Oct-2010,70.1455,32.9746,19.29,66.722
176,"Thursday, October 07, 2010",17:40,Khaisoori- 40km east of Miranshah,North Waziristan,FATA,,,0,2,,2,,4,2,3,N,drone fired two missiles on a compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101069967&Issue=NP_LHE&Date=20101008  http://www.thenews.com.pk/latest-news/2500.htm  http://news.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-us-drone-nwaziristan-qs-07  Daily Jang 07-Oct-2010/PBC-DJN-07-Oct-2010,70.1455,32.9746,18.955,66.119
177,"Friday, October 08, 2010",17:35,MiranShah,North Waziristan,FATA,,,9,10,,,9,10,,,N,missiles were fired on a house,,http://tribune.com.pk/story/60197/two-drone-strikes-kills-5-in-north-waziristan/  http://gulftoday.ae/portal/8de65a07-ca15-4587-bceb-ac51c1d268c9.aspx  Dawn News 08-Oct-2010/PBC-DWN-08-Oct-2010,70.1455,32.9746,18.62,65.516
178,"Sunday, October 10, 2010",11:00,Shewa istrict- spinwan tehsil,North Waziristan,FATA,,,6,8,,,6,8,3,5,N,drone struck a house- car parked outside was also destroyed,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101072484&Issue=NP_LHE&Date=20101011  http://edition.cnn.com/2010/WORLD/asiapcf/10/10/pakistan.drone.attack/  http://www.bbc.co.uk/news/world-south-asia-11509536  http://www.thenews.com.pk/latest-news/2649.htm  Dawn News 10-Oct-2010/PBC-DWN-10-Oct-2010  Daily Jang 10-Oct-2010/PBC-DJN-10-Oct-2010  Express Ttribune 10-Oct-2010/PBC-EXT-10-Oct-2010,70.1455,32.9746,17.995,64.391
179,"Wednesday, October 13, 2010",9:00,Inzarkas in Datta Khel ,North Waziristan,FATA,,,2,7,3,4,5,11,,,N,drone fired two houses,foreigners were said to be from Turkmenistan,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101074686&Issue=NP_LHE&Date=20101014  http://geo.tv/10-14-2010/72829.htm  http://www.bbc.co.uk/news/world-south-asia-11538743  http://www.dailytimes.com.pk/default.asp?page=2010\10\14\story_14-10-2010_pg7_3  Dawn News 13-Oct-2010/PBC-DWN-13-Oct-2010,70.1455,32.9746,18.905,66.029
180,"Friday, October 15, 2010",,machikhel area- near Mirali,North Waziristan,FATA,,,3,6,,,3,6,,2,N,missiles hit militants vehicle,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101075708&Issue=NP_LHE&Date=20101016  http://www.cnn.com/2010/WORLD/asiapcf/10/15/pakistan.drone.strike/  http://news.yahoo.com/s/ap/20101016/ap_on_re_as/as_pakistan  Dawn News 15-Oct-2010/PBC-DWN-15-Oct-2010,70.1455,32.9746,20.49,68.882
181,"Friday, October 15, 2010",23:45,Aziz Khel,North Waziristan,FATA,,,3,6,,,3,6,2,3,N,drone fired missiles at a compound,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101075708&Issue=NP_LHE&Date=20101016  http://news.yahoo.com/s/ap/20101016/ap_on_re_as/as_pakistan  Express Tribune 15-Oct-2010/PBC-EXT-15-Oct-2010  Dawn news 15-Oct-2010/PBC-DWN-15-Oct-2010,70.1455,32.9746,20.49,68.882
182,"Monday, October 18, 2010",,Sunzali area of Dattakhel,North Waziristan,FATA,,,3,6,,4,6,7,1,5,N,a house and vehicle were destroyed,locals said some of them were from turkmenistan,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101078587&Issue=NP_LHE&Date=20101019  http://news.yahoo.com/s/ap/20101018/ap_on_re_as/as_pakistan  http://www.bbc.co.uk/news/world-south-asia-11571471 Dawn News 18-Oct-2010/PBC-DWN-18-Oct-2010 Daily Jang 18-DJN-2010/PBC-EXT-18-DJN-2010,70.1455,32.9746,18.81,65.858
183,"Wednesday, October 27, 2010",3:30,Spinwam. Mir Ali,North Waziristan,FATA,,,2,5,,,2,5,,1,N,missile hit a house,,http://geo.tv/10-27-2010/73486.htm  http://news.yahoo.com/s/ap/20101027/ap_on_re_as/as_pakistan  http://edition.cnn.com/2010/WORLD/asiapcf/10/27/pakistan.drone.attack/  Dawn News 27-Oct-2010/PBC-DWN-27-Oct-2010  Express Tribune 27-Oct-2010/PBC-Ext-27-Oct-2010,70.1455,32.9746,13.275,55.895
184,"Wednesday, October 27, 2010",14:45,Degan of datta khel,North Waziristan,FATA,,,0,3,,4,3,4,,,N,missile hit a car,,http://geo.tv/10-27-2010/73486.htm  http://news.yahoo.com/s/ap/20101027/ap_on_re_as/as_pakistan  http://edition.cnn.com/2010/WORLD/asiapcf/10/27/pakistan.drone.attack/  Dawn News 27-Oct-2010/PBC-DWN-27-Oct-2010  Express Tribune 27-Oct-2010/PBC-Ext-27-Oct-2010,70.1455,32.9746,13.275,55.895
185,"Thursday, October 28, 2010",9:00,MiranShah,North Waziristan,FATA,,,4,5,,3,5,7,,2,N,a house was attacked,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101085953&Issue=NP_LHE&Date=20101029  http://www.bbc.co.uk/news/world-south-asia-11641201  Dawn News 28-Oct-2010/PBC-DWN-28-Oct-2010  Express Tribune 28-Oct-2010/PBC-Ext-28-Oct-2010,70.1455,32.9746,13.355,56.039
186,"Monday, November 01, 2010",9:30,Haider Khel- Mir Ali,North Waziristan,FATA,,,5,6,,,5,6,,,N,missiles struck a house,house was a hub of local militants movement,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101089335&Issue=NP_LHE&Date=20101102  http://geo.tv/11-1-2010/73689.htm  http://public.dawn.com/2010/11/01/four-killed-in-us-drone-strike-in-north-waziristan.html  http://www.bbc.co.uk/news/world-south-asia-11663490  Daily Jang 01-Nov-2010/PBC-DJN-01-Nov-2010  Express Tribune 01-Nov-2010/PBC-Ext-01-Nov-2010,70.1455,32.9746,14.045,57.281
187,"Wednesday, November 03, 2010",,Anzer village near miranshah- eso khel village of Mir ali- Poikhel village of datta khel,North Waziristan,FATA,,,7,12,4,6,11,18,1,4,N,missiles attcked moveing vehiles,car was carrying arms and ammunition,http://thenews.com.pk/latest-news/4206.htm  http://www.cnn.com/2010/WORLD/asiapcf/11/03/pakistan.violence/  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101090481&Issue=NP_LHE&Date=20101104  Daily Jang 03-Nov-2010/PBC-DJN-03-Nov-2010  Dawn News 03-Nov-2010/PBC-DWN-03-Nov-2010,70.1455,32.9746,14.475,58.055
188,"Sunday, November 07, 2010",,Dandi saidgai- miramshah,North Waziristan,FATA,,,5,9,,,5,9,,,N,Car near a house was attacked,,,70.1455,32.9746,13.19,55.742
189,"Sunday, November 07, 2010",,Datta khel- Miramshah,North Waziristan,FATA,,,4,9,,,4,9,,,N,vehicle was attacked,,http://geo.tv/11-7-2010/74021.htm,70.1455,32.9746,13.19,55.742
190,"Thursday, November 11, 2010",,Gulli khel in Ghulam Khan ,North Waziristan,FATA,,,6,8,,,6,8,5,6,N,missiles ht a millitant compound,,http://geo.tv/11-11-2010/74184.htm  http://www.cnn.com/2010/WORLD/asiapcf/11/11/pakistan.drone.strike/  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101096809&Issue=NP_LHE&Date=20101112  Daily Jang 11-Nov-2010/PBC-DJN-11-Nov-2010  Dawn News 11-Nov-2010/PBC-DWN-11-Nov-2010   Express Tribune 11-Nov-2010/PBC-EXT-11-Nov-2010,70.1455,32.9746,12.24,54.032
191,"Saturday, November 13, 2010",,MiranShah,North Waziristan,FATA,,,4,5,,,4,5,,,N,missiles were fired at a car,,http://geo.tv/11-13-2010/74273.htm  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101098676&Issue=NP_LHE&Date=20101114  http://www.cnn.com/2010/WORLD/asiapcf/11/13/pakistan.drone.strike/  Dawn News 13-Nov-2010/PBC-DWN-13-Nov-2010,70.1455,32.9746,9.645,49.361
192,"Tuesday, November 16, 2010",9:00,Ghulam Khan ,North Waziristan,FATA,,,0,16,,4,,20,4,7,N,vehicles and two suspected compounds were targeted,,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101100903&Issue=NP_LHE&Date=20101117  http://geo.tv/11-16-2010/74376.htm  http://www.dawn.com/2010/11/16/us-drone-strike-kills-seven-in-north-waziristan.html  http://edition.cnn.com/2010/WORLD/asiapcf/11/16/pakistan.drone.strike/  Daily Jang 16-Nov-2010/PBC-DJN-16-Nov-2010,70.1455,32.9746,9.64,49.352
193,"Friday, November 19, 2010",12:00,Naurak village- 15 km east of Miranshah,North Waziristan,FATA,,,3,4,,,3,4,,2,N,missiles destroyed a moving vehicle,,http://www.dawn.com/2010/11/19/three-killed-in-north-waziristan-drone-strike.html  http://news.yahoo.com/s/ap/20101119/ap_on_re_as/as_pakistan  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101101385&Issue=NP_LHE&Date=20101120  http://www.cnn.com/2010/WORLD/asiapcf/11/19/pakistan.drone.strike/,70.1455,32.9746,10.02,50.036
194,"Sunday, November 21, 2010",,Khadi village,North Waziristan,FATA,,,5,9,,,5,9,,4,N,drone fired missile at a car and motorcycle,Obama administration has dramatically increased US drone strikes,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101103452&Issue=NP_LHE&Date=20101122  http://geo.tv/11-21-2010/74579.htm  http://news.yahoo.com/s/ap/20101122/ap_on_re_as/as_pakistan  Daily Jang 21-Nov-2010/PBC-DJN-21-Nov-2010  Dawn News 21-Nov-2010/PBC-DWN-21-Nov-2010  Express Tribune 21-Nov-2010/PBC-EXT-21-Nov-2010,70.1455,32.9746,9.525,49.145
195,"Monday, November 22, 2010",,Khewsar Village- Miran shah,North Waziristan,FATA,,,4,6,,,4,6,,4,N,missiles fied on a vehicle,,http://www.dailytimes.com.pk/default.asp?page=2010\11\23\story_23-11-2010_pg7_13  http://www.cnn.com/2010/WORLD/asiapcf/11/22/pakistan.us.drones/  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101104334&Issue=NP_LHE&Date=20101123   Dawn News 22-Nov-2010/PBC-DWN-22-Nov-2010  Express Tribune 22-Nov-2010/PBC-EXT-22-Nov-2010,70.1455,32.9746,8.435,47.183
196,"Friday, November 26, 2010",,Pir Kelay,North Waziristan,FATA,,,2,3,,2,3,4,,4,N,drones targeted a car,,http://geo.tv/11-26-2010/74875.htm  http://www.cnn.com/2010/WORLD/asiapcf/11/26/pakistan.drone.strikes/  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101107306&Issue=NP_LHE&Date=20101127   Daily Jang 26-Nov-2010/PBC-DJN-26-Nov-2010  Dawn News 26-Nov-2010/PBC-DWN-26-Nov-2010  Express Tribune 26-Nov-2010/PBC-EXT-26-Nov-2010,70.1455,32.9746,8.01,46.418
