"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
57,2009-04-01,"","Khadezai","Orakzai","FATA",1,0,0,12,14,0,0,12,14,15,18,"N",69.8597,32.6674,"2009","Barack Obama",1,0
58,2009-04-04,"19:45","Miran shah","North Waziristan","FATA",2,0,0,8,13,0,0,8,13,0,4,"N",70.1455,32.9746,"2009","Barack Obama",1,0
59,2009-04-08,"","Gangi Khel- Wana","South Waziristan","FATA",1,0,3,1,3,0,0,3,4,4,5,"N",69.9,33.0333,"2009","Barack Obama",1,3
60,2009-04-19,"","Gangi Khel- Wana","South Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,5,"Y",69.9,33.0333,"2009","Barack Obama",1,0
61,2009-04-29,"20:15","KaniGaram-Ladha","South Waziristan","FATA",1,0,0,6,8,0,2,6,10,2,4,"N",69.9,33.0333,"2009","Barack Obama",1,0
62,2009-05-09,"10:00","Sararogha","South Waziristan","FATA",1,0,0,6,10,0,0,6,10,3,16,"N",69.9,33.0333,"2009","Barack Obama",1,0
63,2009-05-12,"4:00","Sra Khawra","South Waziristan","FATA",1,0,0,8,10,0,0,8,10,0,4,"Y",69.9,33.0333,"2009","Barack Obama",1,0
64,2009-05-16,"8:00","Khaisoor Area","North Waziristan","FATA",1,2,25,0,25,0,4,25,29,0,6,"N",70.1455,32.9746,"2009","Barack Obama",1,27
65,2009-06-14,"","Laddha","South Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,0,"N",69.9,33.0333,"2009","Barack Obama",1,0
66,2009-06-18,"10:00","Shah Alam- Wana","South Waziristan","FATA",1,0,0,0,9,0,0,0,9,0,8,"N",69.9,33.0333,"2009","Barack Obama",1,0
67,2009-06-23,"","wana","South Waziristan","FATA",1,0,0,15,50,0,0,15,50,0,0,"N",69.9,33.0333,"2009","Barack Obama",1,0
68,2009-07-03,"6:30","KokatKhel","South Waziristan","FATA",1,0,0,13,17,0,0,13,17,25,30,"N",69.9,33.0333,"2009","Barack Obama",1,0
69,2009-07-07,"10:00","Laddha","South Waziristan","FATA",1,0,0,12,12,0,4,12,16,0,4,"N",69.9,33.0333,"2009","Barack Obama",1,0
70,2009-07-08,"","Laddha","South Waziristan","FATA",1,0,0,25,60,0,0,25,60,5,10,"N",69.9,33.0333,"2009","Barack Obama",1,0
71,2009-07-10,"","PaindaKhel","South Waziristan","FATA",1,0,0,3,8,0,0,3,8,0,0,"N",69.9,33.0333,"2009","Barack Obama",1,0
72,2009-07-17,"16:00","Miran shah","South Waziristan","FATA",1,0,5,0,4,0,0,4,5,0,4,"N",69.9,33.0333,"2009","Barack Obama",1,5
73,2009-08-05,"","Laddha","South Waziristan","FATA",1,0,1,1,2,0,0,1,3,3,5,"Y",69.9,33.0333,"2009","Barack Obama",1,1
74,2009-08-11,"","Laddha","South Waziristan","FATA",1,0,10,4,10,0,0,10,14,5,10,"Y",69.9,33.0333,"2009","Barack Obama",1,10
75,2009-08-21,"","Miran shah","South Waziristan","FATA",1,0,0,9,13,0,0,9,13,0,3,"Y",69.9,33.0333,"2009","Barack Obama",1,0
76,2009-08-27,"15:50","Laddha","South Waziristan","FATA",1,0,0,0,10,0,0,0,10,5,7,"N",69.9,33.0333,"2009","Barack Obama",1,0
77,2009-09-08,"23:45","Mir Ali ","South Waziristan","FATA",1,0,0,3,5,0,5,5,8,0,6,"N",69.9,33.0333,"2009","Barack Obama",1,0
78,2009-09-09,"","Miran shah","South Waziristan","FATA",1,0,10,0,0,0,0,0,10,0,0,"N",69.9,33.0333,"2009","Barack Obama",1,10
79,2009-09-14,"6:05","mir ali","South Waziristan","FATA",1,0,0,4,6,0,2,4,8,1,5,"N",69.9,33.0333,"2009","Barack Obama",1,0
80,2009-09-24,"23:00","Miran shah","South Waziristan","FATA",1,0,10,2,10,0,0,10,12,2,3,"N",69.9,33.0333,"2009","Barack Obama",1,10
81,2009-09-29,"","Sararogha","South Waziristan","FATA",1,0,0,5,12,0,0,5,12,6,8,"N",69.9,33.0333,"2009","Barack Obama",1,0
82,2009-09-29,"19:30","Miran shah","South Waziristan","FATA",1,0,9,3,4,0,0,4,12,0,2,"N",69.9,33.0333,"2009","Barack Obama",1,9
83,2009-09-30,"","Miran shah","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,0,0,"N",70.1455,32.9746,"2009","Barack Obama",1,0
84,2009-10-15,"3:40","Miran shah","North Waziristan","FATA",1,0,4,4,6,0,0,4,10,0,9,"Y",70.1455,32.9746,"2009","Barack Obama",1,4
85,2009-10-21,"","Spalga","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2009","Barack Obama",1,0
86,2009-10-24,"11:30","Damadola","Bajaur  Agency","FATA",1,0,0,16,22,0,11,22,27,0,8,"N",71.5,34.6833,"2009","Barack Obama",1,0
87,2009-11-05,"1:30","mir ali","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,8,"N",70.1455,32.9746,"2009","Barack Obama",1,0
88,2009-11-18,"23:00","Mir Ali","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,4,"N",70.1455,32.9746,"2009","Barack Obama",1,0
89,2009-11-20,"","Mir Ali","North Waziristan","FATA",1,0,8,2,8,0,0,8,10,0,2,"N",70.1455,32.9746,"2009","Barack Obama",1,8
90,2009-12-08,"6:20","Spalga","North Waziristan","FATA",2,0,3,0,0,0,0,0,3,0,3,"N",70.1455,32.9746,"2009","Barack Obama",1,3
91,2009-12-10,"","Laddha","South Waziristan","FATA",1,4,2,1,6,0,3,6,10,0,8,"N",69.9,33.0333,"2009","Barack Obama",1,6
92,2009-12-17,"","Datta Khel","North Waziristan","FATA",1,0,0,2,2,0,0,2,2,0,0,"N",70.1455,32.9746,"2009","Barack Obama",1,0
93,2009-12-18,"3:50","Datta Khel","North Waziristan","FATA",1,0,2,2,6,0,0,2,8,0,8,"Y",70.1455,32.9746,"2009","Barack Obama",1,2
94,2009-12-18,"15:30","Datta Khel","North Waziristan","FATA",1,0,8,0,5,0,0,5,8,5,8,"",70.1455,32.9746,"2009","Barack Obama",1,8
95,2009-12-26,"19:00","Miran shah","North Waziristan","FATA",1,0,0,3,10,0,3,3,13,2,3,"N",70.1455,32.9746,"2009","Barack Obama",1,0
96,2009-12-31,"","Miran shah","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,2,"N",70.1455,32.9746,"2009","Barack Obama",1,0
97,2010-01-01,"8:50","Nawana","North Waziristan","FATA",2,0,0,0,2,0,0,0,2,0,3,"",70.1455,32.9746,"2010","Barack Obama",1,0
98,2010-01-03,"20:30","Mosaki village-near Mir Ali","North Waziristan","FATA",2,0,0,0,2,0,3,0,5,3,4,"",70.1455,32.9746,"2010","Barack Obama",1,0
99,2010-01-06,"16:00","Sanzalai-Datta Khel","North Waziristan","FATA",1,0,0,13,25,0,0,13,25,0,6,"Y",70.1455,32.9746,"2010","Barack Obama",1,0
100,2010-01-08,"10:00","Tappi Village","North Waziristan","FATA",1,0,4,4,6,0,0,4,10,2,9,"N",70.1455,32.9746,"2010","Barack Obama",1,4
101,2010-01-09,"11:00","Ismail Khan","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,6,"N",70.1455,32.9746,"2010","Barack Obama",1,0
102,2010-01-14,"6:30","Shakoi","South Waziristan","FATA",1,0,10,5,10,0,0,10,15,0,7,"N",69.9,33.0333,"2010","Barack Obama",1,10
103,2010-01-15,"","Mir Ali","South Waziristan","FATA",1,0,11,6,6,0,3,6,20,0,8,"N",69.9,33.0333,"2010","Barack Obama",1,11
104,2010-01-17,"","shaktoi ","South Waziristan","FATA",1,0,0,15,0,0,0,15,20,0,0,"",69.9,33.0333,"2010","Barack Obama",1,0
105,2010-01-19,"18:30","Booya Village","North Waziristan","FATA",1,0,6,0,5,0,0,5,6,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,6
106,2010-01-29,"","Mohammad Khel","North Waziristan","FATA",3,0,0,5,9,0,6,5,15,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
107,2010-02-02,"17:30","Datta Khel- Degan- Kamar","North Waziristan","FATA",1,0,16,1,16,0,0,16,17,0,8,"N",70.1455,32.9746,"2010","Barack Obama",1,16
108,2010-02-14,"3:30","Mir Ali","North Waziristan","FATA",1,0,0,4,7,0,0,4,7,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
109,2010-02-15,"14:00","Tappi village- 15 km east of Miranshah","North Waziristan","FATA",1,0,0,0,0,0,0,0,4,0,0,"",70.1455,32.9746,"2010","Barack Obama",1,0
110,2010-02-17,"","Tappi Village","North Waziristan","FATA",1,0,3,1,3,0,0,3,4,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,3
111,2010-02-18,"","Dande Darpakhel","North Waziristan","FATA",1,0,4,0,0,0,0,1,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,4
112,2010-02-24,"","Darga Mandi","North Waziristan","FATA",1,0,0,6,8,0,3,8,9,0,6,"N",70.1455,32.9746,"2010","Barack Obama",1,0
113,2010-03-08,"","miran shah","North Waziristan","FATA",1,0,5,0,0,0,0,0,5,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,5
114,2010-03-10,"21:20","miran shah","North Waziristan","FATA",1,0,8,6,12,0,0,12,14,0,5,"N",70.1455,32.9746,"2010","Barack Obama",1,8
115,2010-03-16,"12:45","datta khel","North Waziristan","FATA",1,0,10,1,8,0,0,8,11,2,7,"N",70.1455,32.9746,"2010","Barack Obama",1,10
116,2010-03-16,"","tol Khel","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,0,22,"N",70.1455,32.9746,"2010","Barack Obama",1,0
117,2010-03-17,"","Datta khel","North Waziristan","FATA",1,0,0,5,7,0,0,5,7,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
118,2010-03-17,"","Mada Khel","North Waziristan","FATA",1,0,0,3,11,0,0,3,11,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
119,2010-03-21,"17:00","Datta Khel","North Waziristan","FATA",1,0,0,0,8,0,0,0,8,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
120,2010-03-23,"21:00","miran shah","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,2,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
121,2010-03-27,"","Mir Ali","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,5,"N",70.1455,32.9746,"2010","Barack Obama",1,0
122,2010-03-30,"23:00","Tappi Area","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
123,2010-04-12,"21:30","Datta Khel","North Waziristan","FATA",1,0,0,5,10,0,0,5,10,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
124,2010-04-14,"19:00","Datta Khel","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
125,2010-04-16,"","Toorikhel","North Waziristan","FATA",1,0,6,0,0,0,0,0,6,22,25,"N",70.1455,32.9746,"2010","Barack Obama",1,6
126,2010-04-24,"21:00","miran shah","North Waziristan","FATA",1,0,0,7,9,0,0,7,9,0,8,"N",70.1455,32.9746,"2010","Barack Obama",1,0
127,2010-04-26,"","Khushali Toorikhel","North Waziristan","FATA",1,0,6,3,5,0,0,5,9,4,10,"N",70.1455,32.9746,"2010","Barack Obama",1,6
128,2010-05-03,"15:30","Machi Khel-Mir Ali","North Waziristan","FATA",1,0,0,4,7,0,0,4,7,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
129,2010-05-09,"8:00","Inzarkas in Datta Khel ","North Waziristan","FATA",1,0,0,10,11,0,0,10,11,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
130,2010-05-11,"6:00","Doga- Datta Khel","North Waziristan","FATA",1,0,0,14,15,0,0,14,15,4,8,"N",70.1455,32.9746,"2010","Barack Obama",1,0
131,2010-05-11,"14:00","Gurwak","North Waziristan","FATA",1,0,7,0,7,0,0,7,14,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,7
132,2010-05-15,"","Tirah valley","Khyber Agency","FATA",1,0,0,13,15,0,0,13,15,4,9,"N",71.1481,34.0983,"2010","Barack Obama",1,0
133,2010-05-21,"","Muhammad Khel","North Waziristan","FATA",1,0,6,0,4,0,0,6,10,0,0,"Y",70.1455,32.9746,"2010","Barack Obama",1,6
134,2010-05-28,"12:00","Mizai Narai","South Waziristan","FATA",1,0,0,8,11,0,0,8,11,2,4,"N",69.9,33.0333,"2010","Barack Obama",1,0
135,2010-06-10,"","Khadi village","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
136,2010-06-11,"7:30","Bahadar Khel village- Dattakhel","North Waziristan","FATA",1,0,0,11,12,0,3,11,15,7,12,"N",70.1455,32.9746,"2010","Barack Obama",1,0
137,2010-06-19,"9:30","Haider Khel-Mir Ali","North Waziristan","FATA",1,0,0,11,16,0,0,11,16,3,19,"N",70.1455,32.9746,"2010","Barack Obama",1,0
138,2010-06-26,"","Khushali khel village- Mir Ali","North Waziristan","FATA",1,0,0,2,4,0,0,2,4,1,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
139,2010-06-27,"15:30","Tabbi Tolkhel-4 km north of MiranShah","North Waziristan","FATA",1,0,6,0,5,0,0,5,6,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,6
140,2010-06-29,"7:00","Kari Kot","South Waziristan","FATA",2,1,0,6,7,0,0,6,8,0,0,"N",69.9,33.0333,"2010","Barack Obama",1,1
141,2010-07-15,"","Misermada Khel- MiranShah","North Waziristan","FATA",2,0,0,0,7,0,0,0,7,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
142,2010-07-24,"","Dwasarak- 40km west of Wana","South Waziristan","FATA",1,0,0,16,18,0,0,16,18,0,0,"N",69.9,33.0333,"2010","Barack Obama",1,0
143,2010-07-25,"","shaktoi","South Waziristan","FATA",1,0,0,3,6,0,0,3,6,4,5,"Y",69.9,33.0333,"2010","Barack Obama",1,0
144,2010-07-25,"11:30","shaktoi","South Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,5,"Y",69.9,33.0333,"2010","Barack Obama",1,0
145,2010-07-25,"","MiranShah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,2,"Y",70.1455,32.9746,"2010","Barack Obama",1,0
146,2010-08-14,"9:30","Issori village- Mir Ali","North Waziristan","FATA",1,0,0,8,12,0,5,12,13,4,6,"N",70.1455,32.9746,"2010","Barack Obama",1,0
147,2010-08-21,"","KutabKhel- 3km south of MiranShah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
148,2010-08-23,"","Danday Darpa Khel- 5km from Miran Shah","North Waziristan","FATA",1,0,0,5,10,0,2,5,12,5,15,"N",70.1455,32.9746,"2010","Barack Obama",1,0
149,2010-08-23,"","Dera Mandi","North Waziristan","FATA",1,0,0,5,11,0,0,5,11,0,4,"",70.1455,32.9746,"2010","Barack Obama",1,0
150,2010-08-27,"11:30","Shaheedano- Badshah Kot- Talokonj","Kurram Agency","FATA",1,0,0,6,9,0,0,6,9,0,0,"",69.9667,33.8167,"2010","Barack Obama",1,0
151,2010-09-03,"","MiranShah","North Waziristan","FATA",1,0,0,6,9,0,0,6,9,3,8,"N",70.1455,32.9746,"2010","Barack Obama",1,0
152,2010-09-03,"","Datta Khel","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
153,2010-09-06,"","Khar Qamar","North Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
154,2010-09-08,"6:30","Danday darpakhel- 3 km west of miranshah bazar","North Waziristan","FATA",1,0,0,6,10,0,0,6,10,0,2,"Y",70.1455,32.9746,"2010","Barack Obama",1,0
155,2010-09-08,"","Ambor Shaga","North Waziristan","FATA",1,0,0,0,0,0,4,0,4,0,1,"Y",70.1455,32.9746,"2010","Barack Obama",1,0
156,2010-09-08,"21:00","Darga Mandi- Miran Shah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,2,"Y",70.1455,32.9746,"2010","Barack Obama",1,0
157,2010-09-09,"4:30","Machus Camp- Miran shah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,5,"",70.1455,32.9746,"2010","Barack Obama",1,0
158,2010-09-12,"6:15","Newey Adda village in Datta Khel- near Miranshah","North Waziristan","FATA",1,0,0,3,4,0,2,4,5,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
159,2010-09-14,"6:00","Bush Narai","North Waziristan","FATA",1,0,0,8,12,0,0,8,12,0,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
160,2010-09-14,"19:00","KutabKhel-MiranShah","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
161,2010-09-15,"16:30","Danday Darpa Khel- Miran Shah","North Waziristan","FATA",1,0,0,0,12,0,14,12,14,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
162,2010-09-15,"","Datta Khel","North Waziristan","FATA",1,0,0,5,7,0,0,5,7,0,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
163,2010-09-19,"","Datta Khel","North Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
164,2010-09-20,"","Datta Khel","North Waziristan","FATA",1,0,0,5,9,0,0,5,9,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
165,2010-09-21,"17:30","Khund","South Waziristan","FATA",1,0,0,7,8,0,0,7,8,0,4,"N",69.9,33.0333,"2010","Barack Obama",1,0
166,2010-09-21,"","Azam Warsak Village","South Waziristan","FATA",1,0,0,5,12,0,0,5,12,0,8,"N",69.9,33.0333,"2010","Barack Obama",1,0
167,2010-09-21,"","Azam Warsak Village","South Waziristan","FATA",1,0,0,0,8,0,0,0,8,0,0,"",69.9,33.0333,"2010","Barack Obama",1,0
168,2010-09-25,"","Datta Khel","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
169,2010-09-26,"","Manada khel- Darmano road- and Lawar Mandi in Datta Khel","North Waziristan","FATA",1,0,0,9,12,0,0,9,12,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
170,2010-09-27,"","Khshali ToorKhel- southeast of Miran Shah","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
171,2010-09-28,"","Zeba Village-Wana","South Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",69.9,33.0333,"2010","Barack Obama",1,0
172,2010-10-02,"10:00","Kasra madda khel-and  Tirmara-in Datta khel","North Waziristan","FATA",1,0,0,14,17,0,4,17,18,3,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
173,2010-10-04,"12:00","Mir Ali","North Waziristan","FATA",1,0,0,3,1,5,8,8,9,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
174,2010-10-06,"17:00","MiranShah Bazaar","North Waziristan","FATA",1,0,0,5,6,0,0,5,6,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
175,2010-10-06,"","Hurmaz village of Mir ali","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
176,2010-10-07,"17:40","Khaisoori- 40km east of Miranshah","North Waziristan","FATA",1,0,0,0,2,0,2,0,4,2,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
177,2010-10-08,"17:35","MiranShah","North Waziristan","FATA",1,0,0,9,10,0,0,9,10,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
178,2010-10-10,"11:00","Shewa istrict- spinwan tehsil","North Waziristan","FATA",1,0,0,6,8,0,0,6,8,3,5,"N",70.1455,32.9746,"2010","Barack Obama",1,0
179,2010-10-13,"9:00","Inzarkas in Datta Khel ","North Waziristan","FATA",1,0,0,2,7,3,4,5,11,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
180,2010-10-15,"","machikhel area- near Mirali","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
181,2010-10-15,"23:45","Aziz Khel","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,2,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
182,2010-10-18,"","Sunzali area of Dattakhel","North Waziristan","FATA",1,0,0,3,6,0,4,6,7,1,5,"N",70.1455,32.9746,"2010","Barack Obama",1,0
183,2010-10-27,"3:30","Spinwam. Mir Ali","North Waziristan","FATA",1,0,0,2,5,0,0,2,5,0,1,"N",70.1455,32.9746,"2010","Barack Obama",1,0
184,2010-10-27,"14:45","Degan of datta khel","North Waziristan","FATA",1,0,0,0,3,0,4,3,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
185,2010-10-28,"9:00","MiranShah","North Waziristan","FATA",1,0,0,4,5,0,3,5,7,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
186,2010-11-01,"9:30","Haider Khel- Mir Ali","North Waziristan","FATA",1,0,0,5,6,0,0,5,6,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
187,2010-11-03,"","Anzer village near miranshah- eso khel village of Mir ali- Poikhel village of datta khel","North Waziristan","FATA",1,0,0,7,12,4,6,11,18,1,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
188,2010-11-07,"","Dandi saidgai- miramshah","North Waziristan","FATA",1,0,0,5,9,0,0,5,9,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
189,2010-11-07,"","Datta khel- Miramshah","North Waziristan","FATA",1,0,0,4,9,0,0,4,9,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
190,2010-11-11,"","Gulli khel in Ghulam Khan ","North Waziristan","FATA",1,0,0,6,8,0,0,6,8,5,6,"N",70.1455,32.9746,"2010","Barack Obama",1,0
191,2010-11-13,"","MiranShah","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
192,2010-11-16,"9:00","Ghulam Khan ","North Waziristan","FATA",1,0,0,0,16,0,4,0,20,4,7,"N",70.1455,32.9746,"2010","Barack Obama",1,0
193,2010-11-19,"12:00","Naurak village- 15 km east of Miranshah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,2,"N",70.1455,32.9746,"2010","Barack Obama",1,0
194,2010-11-21,"","Khadi village","North Waziristan","FATA",1,0,0,5,9,0,0,5,9,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
195,2010-11-22,"","Khewsar Village- Miran shah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
196,2010-11-26,"","Pir Kelay","North Waziristan","FATA",1,0,0,2,3,0,2,3,4,0,4,"N",70.1455,32.9746,"2010","Barack Obama",1,0
197,2010-11-28,"","Hasaan Khel- 30 km east of Miran Shah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
198,2010-12-06,"","Khushali turikhel","North Waziristan","FATA",1,0,0,5,7,0,0,5,7,0,3,"N",70.1455,32.9746,"2010","Barack Obama",1,0
199,2010-12-10,"17:45","Khadar Khel","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
200,2010-12-14,"","Spalga village- 15 km south of Miranshah","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2010","Barack Obama",1,0
201,2010-12-16,"","tirah valley ","Khyber Agency","FATA",1,0,2,0,5,0,0,0,7,0,0,"N",71.1481,34.0983,"2010","Barack Obama",1,2
202,2010-12-17,"","tirah valley ","Khyber Agency","FATA",4,0,0,21,50,0,0,21,50,0,0,"N",71.1481,34.0983,"2010","Barack Obama",1,0
203,2010-12-27,"10:00","shera tala/and  Machikhel","North Waziristan","FATA",6,0,0,18,25,0,0,18,25,4,7,"N",70.1455,32.9746,"2010","Barack Obama",1,0
204,2010-12-28,"10:00","Ghulam Khan ","North Waziristan","FATA",1,0,0,5,22,0,0,5,22,0,8,"N",70.1455,32.9746,"2010","Barack Obama",1,0
205,2010-12-31,"23:30","Ghulam Khan ","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,8,"N",70.1455,32.9746,"2010","Barack Obama",1,0
206,2011-01-01,"7:30","Madi Khel","North Waziristan","FATA",1,0,0,6,9,0,0,6,9,0,5,"N",70.1455,32.9746,"2011","Barack Obama",1,0
207,2011-01-01,"","Gharghuski village nera Naurak- in mirali","North Waziristan","FATA",1,0,0,5,11,0,0,5,11,2,8,"N",70.1455,32.9746,"2011","Barack Obama",1,0
208,2011-01-01,"","Mohammad Khel","North Waziristan","FATA",1,0,0,4,5,0,0,4,5,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
209,2011-01-07,"","DattaKhel","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,4,"N",70.1455,32.9746,"2011","Barack Obama",1,0
210,2011-01-12,"9:30","Haider Khel- Mir Ali","North Waziristan","FATA",1,0,0,1,3,0,3,3,4,0,2,"N",70.1455,32.9746,"2011","Barack Obama",1,0
211,2011-01-18,"23:00","DattaKhel","North Waziristan","FATA",1,0,0,4,7,0,0,4,7,0,3,"N",70.1455,32.9746,"2011","Barack Obama",1,0
212,2011-01-23,"","Datta khel","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
213,2011-01-23,"","Datta Khel","North Waziristan","FATA",1,0,0,2,3,0,0,2,3,0,0,"",70.1455,32.9746,"2011","Barack Obama",1,0
214,2011-01-23,"","mando khel","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,0,3,"",70.1455,32.9746,"2011","Barack Obama",1,0
215,2011-02-20,"2:00","Azam warsak","South Waziristan","FATA",1,0,0,5,6,0,0,5,6,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
216,2011-02-21,"23:15","Tappi village- Miranshah","North Waziristan","FATA",1,0,0,5,10,0,0,5,10,0,4,"N",70.1455,32.9746,"2011","Barack Obama",1,0
217,2011-02-21,"","azamwarsak- west of wana","South Waziristan","FATA",1,0,0,0,7,0,0,0,7,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
218,2011-02-24,"","Danday Darpa Khel- 30km west of miranshah","North Waziristan","FATA",3,0,0,0,0,0,2,0,2,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
219,2011-02-24,"","Data khel","North Waziristan","FATA",3,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
220,2011-03-08,"12:00","Landi Dag area- 7 km south of Wana bazaar","South Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,2,"N",69.9,33.0333,"2011","Barack Obama",1,0
221,2011-03-08,"","Ismailkhel village","North Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,2,"N",70.1455,32.9746,"2011","Barack Obama",1,0
222,2011-03-11,"","Khaisor town- 30km north of Miranshah","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
