"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
224,2011-03-13,"","Esha check post- spalga village- 15km northwest of Miranshah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,5,"N",70.1455,32.9746,"2011","Barack Obama",1,0
225,2011-03-13,"","Azamwarsak-Pray kari village","South Waziristan","FATA",1,0,0,0,0,0,0,0,0,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
226,2011-03-14,"7:30","Tappi village- miranshah razmak road","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
227,2011-03-16,"","Amboor shega area in Dattakhel tehsil","North Waziristan","FATA",1,0,0,5,6,0,0,5,6,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
228,2011-03-17,"","Nevi Adda Shega area","North Waziristan","FATA",1,0,0,40,41,0,0,40,41,8,15,"Y",70.1455,32.9746,"2011","Barack Obama",1,0
229,2011-04-13,"","near Angoor adda","South Waziristan","FATA",1,6,0,1,6,0,0,6,7,2,4,"N",69.9,33.0333,"2011","Barack Obama",1,6
230,2011-04-22,"5:45","Spinam- mirali tall road- Hassan khel area","North Waziristan","FATA",1,0,0,23,25,0,0,23,25,5,8,"Y",70.1455,32.9746,"2011","Barack Obama",1,0
231,2011-05-06,"","Data khel tehsil- Dowatoui area","North Waziristan","FATA",1,0,0,13,18,0,0,13,18,0,4,"N",70.1455,32.9746,"2011","Barack Obama",1,0
232,2011-05-10,"","Angoor Adda","South Waziristan","FATA",1,0,0,2,3,0,3,3,5,0,7,"N",69.9,33.0333,"2011","Barack Obama",1,0
233,2011-05-12,"11:00","Paikhel Mazdok area- Dattakhel Tehsil","North Waziristan","FATA",1,0,0,0,8,0,0,0,8,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
234,2011-05-13,"","Kharkamar area- 40km west of miramshsh","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,0,0,"",70.1455,32.9746,"2011","Barack Obama",1,0
235,2011-05-16,"","Khoshi Torikhel area of Tehsil Mirali","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
236,2011-05-16,"","Marki Killey area","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
237,2011-05-20,"18:00","Sarbr area- Razmak miranshah road- near Esha check post","North Waziristan","FATA",1,0,0,0,6,0,0,0,6,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
238,2011-05-23,"","machikhel area- near Mirali","North Waziristan","FATA",1,0,0,0,7,0,0,0,7,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
239,2011-06-03,"23:45","Ghwakhwa area- 10km west of wana","South Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
240,2011-06-06,"","Shalam Raghzai 10 km northwest of wana","South Waziristan","FATA",1,0,0,0,0,0,0,7,8,0,2,"",69.9,33.0333,"2011","Barack Obama",1,0
241,2011-06-06,"","Wach Dana- 12 km northwest of wana","South Waziristan","FATA",1,0,0,0,0,0,0,8,10,0,3,"",69.9,33.0333,"2011","Barack Obama",1,0
242,2011-06-06,"","Dare nishtar in shwal","South Waziristan","FATA",1,0,0,0,0,0,0,3,5,0,0,"",69.9,33.0333,"2011","Barack Obama",1,0
243,2011-06-08,"","Shwal Tehsil- Zoi narry area","North Waziristan","FATA",1,0,0,23,24,0,0,23,24,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
244,2011-06-15,"","Wana","South Waziristan","FATA",1,0,0,0,7,0,0,0,7,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
245,2011-06-15,"","Wana","South Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
246,2011-06-15,"","Tappi village- 10 km east of miranshah","North Waziristan","FATA",1,0,0,4,8,0,0,4,8,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
247,2011-06-20,"","Khrdand area","Lower Kurram Agency","FATA",1,0,0,0,3,0,9,11,12,0,8,"N",69.9667,33.8167,"2011","Barack Obama",1,0
248,2011-06-27,"","Ghalmandi Panga- Bray Nishtar area near the border with Afghanistan and North Waziristan","North Waziristan","FATA",1,0,0,3,8,0,0,3,8,0,2,"N",70.1455,32.9746,"2011","Barack Obama",1,0
249,2011-06-27,"","Mantoi area- 40 km north-west of Miranshah- South Waziristan","South Waziristan","FATA",1,0,0,12,14,0,0,12,14,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
250,2011-07-05,"","Guest house in Mirali- about 25 KM east of miranshah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,5,"N",70.1455,32.9746,"2011","Barack Obama",1,0
251,2011-07-11,"2:00","Gorwaik area of dattakhel town","North Waziristan","FATA",1,0,0,10,12,0,0,10,12,0,6,"N",70.1455,32.9746,"2011","Barack Obama",1,0
252,2011-07-12,"","Malik shahi village in Birmal Tehsil","South Waziristan","FATA",1,0,0,5,13,0,0,5,13,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
253,2011-07-12,"","DreNishter Area- shawal valley","North Waziristan","FATA",1,0,0,8,16,0,0,8,16,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
254,2011-07-12,"","Neway adda village of Dattakhel","North Waziristan","FATA",1,0,0,1,3,0,0,1,3,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
255,2011-08-01,"","Azamwarsak","South Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
256,2011-08-02,"","Qutub Khel village- 5km  east of miranshah","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
257,2011-08-10,"","North western tribal belt along the afghan border","North Waziristan","FATA",2,0,0,0,0,0,21,18,21,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
258,2011-08-16,"","Miranshah Market","North Waziristan","FATA",2,0,0,0,0,0,0,0,4,0,0,"Y",70.1455,32.9746,"2011","Barack Obama",1,0
259,2011-08-19,"","Sheen Warsik in South Waziristan","South Waziristan","FATA",1,0,0,0,0,0,0,2,4,0,0,"N",69.9,33.0333,"2011","Barack Obama",1,0
